###########################################################################
# Data from Schruba et al. (2011)
# Digitized by S. Ploeckinger from fig. A1
# Distances for individual galaxies from NED (mean/stdev from literature)
# column 1: galaxy
# column 2: mean distance to the galaxy from NED [Mpc]
# column 3: standard deviation from distance measurements [Mpc]
# column 4: radial distance of 15 arcseconds shell [arcseconds]
# column 5: HI surface density [Msol / pc-2]
# column 6: H2 surface density [Msol / pc-2]
# column 7: flag for H2 measurements: 0 ... high significance measurement
#                                     1 ... marginal significance
#                                     2 ... 3 sigma upper limit
###########################################################################
NGC3049	23.65	6.71	52.5	5.18	0.71	2
NGC3049	23.65	6.71	67.5	4.05	0.72	2
NGC3049	23.65	6.71	82.5	3.03	0.64	2
NGC3049	23.65	6.71	97.5	2.32	0.56	2
NGC3049	23.65	6.71	112.5	1.57	0.71	2
NGC3049	23.65	6.71	127.5	0.94	1.00	2
NGC3049	23.65	6.71	142.5	0.88	1.36	2
NGC3049	23.65	6.71	157.5	0.52	1.85	2
NGC3049	23.65	6.71	172.5	0.34	2.91	2
NGC3049	23.65	6.71	187.5	nan	nan	nan
NGC3049	23.65	6.71	202.5	nan	nan	nan
NGC3049	23.65	6.71	217.5	nan	nan	nan
NGC3049	23.65	6.71	232.5	nan	nan	nan
NGC3049	23.65	6.71	247.5	nan	nan	nan
NGC3049	23.65	6.71	262.5	nan	nan	nan
NGC3049	23.65	6.71	277.5	nan	nan	nan
NGC3049	23.65	6.71	292.5	nan	nan	nan
NGC3049	23.65	6.71	307.5	nan	nan	nan
NGC3049	23.65	6.71	322.5	nan	nan	nan
NGC3049	23.65	6.71	337.5	nan	nan	nan
NGC3049	23.65	6.71	352.5	nan	nan	nan
NGC3049	23.65	6.71	367.5	nan	nan	nan
NGC3049	23.65	6.71	382.5	nan	nan	nan
NGC3049	23.65	6.71	397.5	nan	nan	nan
NGC3077	3.63	0.58	7.5	16.97	nan	2
NGC3077	3.63	0.58	22.5	11.27	6.87	0
NGC3077	3.63	0.58	37.5	8.29	1.76	1
NGC3077	3.63	0.58	52.5	6.64	1.36	1
NGC3077	3.63	0.58	67.5	5.70	0.93	2
NGC3077	3.63	0.58	82.5	4.89	0.90	2
NGC3077	3.63	0.58	97.5	4.64	1.36	2
NGC3077	3.63	0.58	112.5	4.19	1.94	2
NGC3077	3.63	0.58	127.5	nan	nan	nan
NGC3077	3.63	0.58	142.5	nan	nan	nan
NGC3077	3.63	0.58	157.5	nan	nan	nan
NGC3077	3.63	0.58	172.5	nan	nan	nan
NGC3077	3.63	0.58	187.5	nan	nan	nan
NGC3077	3.63	0.58	202.5	nan	nan	nan
NGC3077	3.63	0.58	217.5	nan	nan	nan
NGC3077	3.63	0.58	232.5	nan	nan	nan
NGC3077	3.63	0.58	247.5	nan	nan	nan
NGC3077	3.63	0.58	262.5	nan	nan	nan
NGC3077	3.63	0.58	277.5	nan	nan	nan
NGC3077	3.63	0.58	292.5	nan	nan	nan
NGC3077	3.63	0.58	307.5	nan	nan	nan
NGC3077	3.63	0.58	322.5	nan	nan	nan
NGC3077	3.63	0.58	337.5	nan	nan	nan
NGC3077	3.63	0.58	352.5	nan	nan	nan
NGC3077	3.63	0.58	367.5	nan	nan	nan
NGC3077	3.63	0.58	382.5	nan	nan	nan
NGC3077	3.63	0.58	397.5	nan	nan	nan
NGC3184	12.27	2.19	7.5	3.41	nan	2
NGC3184	12.27	2.19	22.5	3.48	16.65	0
NGC3184	12.27	2.19	37.5	4.12	10.99	0
NGC3184	12.27	2.19	52.5	5.07	10.78	0
NGC3184	12.27	2.19	67.5	5.78	11.41	0
NGC3184	12.27	2.19	82.5	6.86	9.81	0
NGC3184	12.27	2.19	97.5	7.39	7.68	0
NGC3184	12.27	2.19	112.5	7.97	8.28	0
NGC3184	12.27	2.19	127.5	7.97	4.61	0
NGC3184	12.27	2.19	142.5	7.12	2.77	0
NGC3184	12.27	2.19	157.5	6.86	1.76	0
NGC3184	12.27	2.19	172.5	6.60	1.80	0
NGC3184	12.27	2.19	187.5	6.01	0.93	2
NGC3184	12.27	2.19	202.5	5.47	0.86	2
NGC3184	12.27	2.19	217.5	4.28	0.86	2
NGC3184	12.27	2.19	232.5	3.28	1.10	2
NGC3184	12.27	2.19	247.5	3.16	1.23	2
NGC3184	12.27	2.19	262.5	2.72	1.63	2
NGC3184	12.27	2.19	277.5	nan	nan	nan
NGC3184	12.27	2.19	292.5	nan	nan	nan
NGC3184	12.27	2.19	307.5	nan	nan	nan
NGC3184	12.27	2.19	322.5	nan	nan	nan
NGC3184	12.27	2.19	337.5	nan	nan	nan
NGC3184	12.27	2.19	352.5	nan	nan	nan
NGC3184	12.27	2.19	367.5	nan	nan	nan
NGC3184	12.27	2.19	382.5	nan	nan	nan
NGC3184	12.27	2.19	397.5	nan	nan	nan
NGC3198	12.83	2.76	7.5	3.48	nan	2
NGC3198	12.83	2.76	22.5	3.35	5.26	0
NGC3198	12.83	2.76	37.5	4.20	3.05	0
NGC3198	12.83	2.76	52.5	5.47	3.89	0
NGC3198	12.83	2.76	67.5	5.90	4.20	0
NGC3198	12.83	2.76	82.5	6.36	2.82	0
NGC3198	12.83	2.76	97.5	6.36	1.30	0
NGC3198	12.83	2.76	112.5	6.48	0.88	0
NGC3198	12.83	2.76	127.5	6.36	0.71	0
NGC3198	12.83	2.76	142.5	6.86	0.40	2
NGC3198	12.83	2.76	157.5	6.24	0.40	2
NGC3198	12.83	2.76	172.5	6.24	0.37	2
NGC3198	12.83	2.76	187.5	6.12	0.40	2
NGC3198	12.83	2.76	202.5	4.97	0.33	2
NGC3198	12.83	2.76	217.5	4.61	0.35	2
NGC3198	12.83	2.76	232.5	4.28	0.44	2
NGC3198	12.83	2.76	247.5	4.28	0.47	2
NGC3198	12.83	2.76	262.5	4.36	0.56	2
NGC3198	12.83	2.76	277.5	3.97	0.70	2
NGC3198	12.83	2.76	292.5	3.48	1.21	2
NGC3198	12.83	2.76	307.5	2.62	1.66	2
NGC3198	12.83	2.76	322.5	nan	nan	nan
NGC3198	12.83	2.76	337.5	nan	nan	nan
NGC3198	12.83	2.76	352.5	nan	nan	nan
NGC3198	12.83	2.76	367.5	nan	nan	nan
NGC3198	12.83	2.76	382.5	nan	nan	nan
NGC3198	12.83	2.76	397.5	nan	nan	nan
NGC3351	9.94	1.14	7.5	1.49	nan	2
NGC3351	9.94	1.14	22.5	0.84	31.62	0
NGC3351	9.94	1.14	37.5	0.75	10.78	0
NGC3351	9.94	1.14	52.5	1.54	8.13	0
NGC3351	9.94	1.14	67.5	2.38	8.76	0
NGC3351	9.94	1.14	82.5	2.67	6.73	0
NGC3351	9.94	1.14	97.5	3.10	4.12	0
NGC3351	9.94	1.14	112.5	2.93	3.22	0
NGC3351	9.94	1.14	127.5	2.93	2.57	0
NGC3351	9.94	1.14	142.5	2.82	2.13	0
NGC3351	9.94	1.14	157.5	2.88	1.38	0
NGC3351	9.94	1.14	172.5	2.93	0.75	1
NGC3351	9.94	1.14	187.5	3.10	0.65	2
NGC3351	9.94	1.14	202.5	3.10	0.49	1
NGC3351	9.94	1.14	217.5	2.72	0.69	2
NGC3351	9.94	1.14	232.5	1.97	0.66	2
NGC3351	9.94	1.14	247.5	1.38	0.71	2
NGC3351	9.94	1.14	262.5	0.98	0.65	2
NGC3351	9.94	1.14	277.5	0.73	0.65	2
NGC3351	9.94	1.14	292.5	0.62	0.93	2
NGC3351	9.94	1.14	307.5	0.48	1.90	2
NGC3351	9.94	1.14	322.5	nan	nan	nan
NGC3351	9.94	1.14	337.5	nan	nan	nan
NGC3351	9.94	1.14	352.5	nan	nan	nan
NGC3351	9.94	1.14	367.5	nan	nan	nan
NGC3351	9.94	1.14	382.5	nan	nan	nan
NGC3351	9.94	1.14	397.5	nan	nan	nan
NGC3521	11.39	2.85	7.5	4.23	nan	2
NGC3521	11.39	2.85	22.5	4.92	42.07	0
NGC3521	11.39	2.85	37.5	7.31	45.36	0
NGC3521	11.39	2.85	52.5	8.49	37.58	0
NGC3521	11.39	2.85	67.5	8.49	26.78	0
NGC3521	11.39	2.85	82.5	9.51	18.38	0
NGC3521	11.39	2.85	97.5	10.65	18.73	0
NGC3521	11.39	2.85	112.5	9.69	12.15	0
NGC3521	11.39	2.85	127.5	9.88	6.17	0
NGC3521	11.39	2.85	142.5	8.66	3.07	0
NGC3521	11.39	2.85	157.5	8.03	2.15	0
NGC3521	11.39	2.85	172.5	8.34	1.99	0
NGC3521	11.39	2.85	187.5	8.34	1.75	0
NGC3521	11.39	2.85	202.5	7.88	1.16	1
NGC3521	11.39	2.85	217.5	7.88	0.94	1
NGC3521	11.39	2.85	232.5	8.49	0.59	1
NGC3521	11.39	2.85	247.5	8.03	0.43	2
NGC3521	11.39	2.85	262.5	8.34	0.37	2
NGC3521	11.39	2.85	277.5	7.88	0.41	2
NGC3521	11.39	2.85	292.5	7.17	0.50	2
NGC3521	11.39	2.85	307.5	6.41	0.55	2
NGC3521	11.39	2.85	322.5	5.11	0.53	2
NGC3521	11.39	2.85	337.5	4.15	0.59	2
NGC3521	11.39	2.85	352.5	3.13	0.61	2
NGC3521	11.39	2.85	367.5	2.36	0.61	2
NGC3521	11.39	2.85	382.5	1.96	0.69	2
NGC3521	11.39	2.85	397.5	1.50	0.81	2
NGC3627	9.62	1.96	7.5	3.13	nan	2
NGC3627	9.62	1.96	22.5	3.86	46.91	0
NGC3627	9.62	1.96	37.5	4.93	32.13	0
NGC3627	9.62	1.96	52.5	6.19	42.67	0
NGC3627	9.62	1.96	67.5	7.77	43.49	0
NGC3627	9.62	1.96	82.5	7.34	26.09	0
NGC3627	9.62	1.96	97.5	5.96	13.97	0
NGC3627	9.62	1.96	112.5	5.42	9.57	0
NGC3627	9.62	1.96	127.5	4.16	7.34	0
NGC3627	9.62	1.96	142.5	3.32	6.55	0
NGC3627	9.62	1.96	157.5	2.59	4.84	0
NGC3627	9.62	1.96	172.5	1.84	2.59	0
NGC3627	9.62	1.96	187.5	1.17	1.11	2
NGC3627	9.62	1.96	202.5	0.88	1.05	2
NGC3627	9.62	1.96	217.5	0.65	0.86	2
NGC3627	9.62	1.96	232.5	0.35	1.09	2
NGC3627	9.62	1.96	247.5	0.21	1.03	2
NGC3627	9.62	1.96	262.5	0.18	1.36	2
NGC3627	9.62	1.96	277.5	0.14	1.39	2
NGC3627	9.62	1.96	292.5	0.16	1.58	2
NGC3627	9.62	1.96	307.5	0.15	1.92	2
NGC3627	9.62	1.96	322.5	0.15	1.95	2
NGC3627	9.62	1.96	337.5	0.15	2.80	2
NGC3627	9.62	1.96	352.5	0.12	3.32	2
NGC3627	9.62	1.96	367.5	0.09	3.32	2
NGC3627	9.62	1.96	382.5	0.11	4.57	2
NGC3627	9.62	1.96	397.5	0.14	4.57	2
NGC3938	12.69	7.81	7.5	2.82	nan	2
NGC3938	12.69	7.81	22.5	4.12	24.28	0
NGC3938	12.69	7.81	37.5	6.12	18.29	0
NGC3938	12.69	7.81	52.5	7.82	13.53	0
NGC3938	12.69	7.81	67.5	8.60	8.13	0
NGC3938	12.69	7.81	82.5	8.60	3.97	0
NGC3938	12.69	7.81	97.5	8.28	1.90	0
NGC3938	12.69	7.81	112.5	8.28	0.91	1
NGC3938	12.69	7.81	127.5	7.26	0.78	2
NGC3938	12.69	7.81	142.5	6.24	0.74	2
NGC3938	12.69	7.81	157.5	5.17	0.75	2
NGC3938	12.69	7.81	172.5	2.99	0.78	2
NGC3938	12.69	7.81	187.5	1.70	0.84	2
NGC3938	12.69	7.81	202.5	1.88	1.19	2
NGC3938	12.69	7.81	217.5	1.51	1.49	2
NGC3938	12.69	7.81	232.5	nan	nan	nan
NGC3938	12.69	7.81	247.5	nan	nan	nan
NGC3938	12.69	7.81	262.5	nan	nan	nan
NGC3938	12.69	7.81	277.5	nan	nan	nan
NGC3938	12.69	7.81	292.5	nan	nan	nan
NGC3938	12.69	7.81	307.5	nan	nan	nan
NGC3938	12.69	7.81	322.5	nan	nan	nan
NGC3938	12.69	7.81	337.5	nan	nan	nan
NGC3938	12.69	7.81	352.5	nan	nan	nan
NGC3938	12.69	7.81	367.5	nan	nan	nan
NGC3938	12.69	7.81	382.5	nan	nan	nan
NGC3938	12.69	7.81	397.5	nan	nan	nan
NGC4214	2.98	1.10	7.5	17.62	nan	2
NGC4214	2.98	1.10	22.5	13.53	2.34	1
NGC4214	2.98	1.10	37.5	11.20	1.83	1
NGC4214	2.98	1.10	52.5	11.63	2.13	0
NGC4214	2.98	1.10	67.5	11.63	2.13	0
NGC4214	2.98	1.10	82.5	9.45	1.21	2
NGC4214	2.98	1.10	97.5	7.53	0.94	2
